,genotype,score,VM_dry,VM_wet,VM_dw_percent,CH_dry,CH_wet,CH_dw_percent,TB_0003,TB_0037,TB_0095,TB_0239,TB_0335,TB_0368,TB_0382,TB_0386,TB_0433,TB_0436,TB_0446,TB_0462,TB_0476,TB_0508,TB_0509,TB_0581,TB_0612
95,TB_0486,0.5,2.1254833333,1.7530333333,1.2124603069,387,282.6666666667,1.3691037736,67.1118469423,48.2907858706,52.0768662652,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,48.2907858706,35.2703841771,48.2907858706,67.1118469423,59.1945943478
1,TB_0006,0.5,2.8627666667,4.1292333333,0.6932925402,609.8333333333,705.1666666667,0.8648073741,67.1118469423,48.2907858706,52.0768662652,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,48.2907858706,41.2795348811,48.2907858706,67.1118469423,59.1945943478
91,TB_0469,0,2.9691,3.2743333333,0.9067800061,445.6666666667,476.6666666667,0.934965035,67.1118469423,48.2907858706,52.0768662652,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,48.2907858706,41.2795348811,48.2907858706,67.1118469423,59.1945943478
129,TB_0641,0.5,3.8640166667,5.2334166667,0.7383353768,549.1666666667,668.5,0.8214909,67.1118469423,48.2907858706,52.0768662652,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,48.2907858706,41.2795348811,48.2907858706,67.1118469423,59.1945943478
9,TB_0050,0,3.2142666667,1.8833666667,1.7066600591,433.6666666667,515.3333333333,0.8415265201,67.1118469423,52.0768662652,16.1245154966,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,52.0768662652,52.0768662652,52.0768662652,67.1118469423,59.1945943478
6,TB_0034,0,3.01295,4.07265,0.7398008668,464.5,508.3333333333,0.9137704918,67.1118469423,52.0768662652,30.6594194335,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,52.0768662652,52.0768662652,52.0768662652,67.1118469423,59.1945943478
94,TB_0480,0,2.2386666667,2.7114666667,0.8256294256,437.8333333333,480,0.9121527778,67.1118469423,52.0768662652,34.9857113691,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,52.0768662652,52.0768662652,52.0768662652,67.1118469423,59.1945943478
107,TB_0534,0,2.0995166667,1.4033833333,1.4960393335,411.6666666667,408.8333333333,1.0069302894,67.1118469423,52.0768662652,36.9864840178,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,52.0768662652,52.0768662652,52.0768662652,67.1118469423,59.1945943478
14,TB_0109,0,2.8532333333,2.2148666667,1.2882190049,289.1666666667,420.5,0.6876734047,67.1118469423,52.0768662652,46,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,52.0768662652,52.0768662652,52.0768662652,67.1118469423,59.1945943478
78,TB_0401,0.5,3.7085,3.3874166667,1.0947870796,342.5,499.8333333333,0.6852284095,67.1118469423,52.0768662652,46,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,67.1118469423,52.0768662652,52.0768662652,52.0768662652,67.1118469423,59.1945943478
