Subplot_ID,Rep,Awning,Treatment,Genotype,Grid_Location,Jul_21_IR,Jul_11_IR
60523,1,5,dry,TB_0508,D2,35.5175625,39.14775
60524,1,5,dry,TB_0104,D1,36.7506875,42.8895
60525,1,5,dry,TB_0582,E6,40.001,40.007375
60526,1,5,dry,TB_0154,E5,40.27825,39.9920625
60527,1,5,dry,TB_0096,E4,40.4619375,40.045625
60528,1,5,dry,TB_0211,E3,47.6243125,42.33
60529,1,5,dry,TB_0039,E2,36.570875,37.4928125
60530,1,5,dry,TB_0029,E1,37.4415625,44.5100625
60531,1,5,dry,TB_0337,F6,56.9576875,58.1765
60532,1,5,dry,TB_0023,F5,40.650875,42.1069375
60533,1,5,dry,TB_0418,F4,48.28725,53.556625
60534,1,5,dry,B100,F3,39.9485,44.3195
60535,1,5,dry,TB_0509,F2,38.88875,39.023125
60536,1,5,dry,TB_0594,F1,36.3105625,39.35575
60537,1,5,dry,TB_0125,G6,44.9948125,46.1004375
60538,1,5,dry,TB_0611,G5,37.32775,39.4485625
60539,1,5,dry,TB_0101,G4,45.06525,42.5118125
60540,1,5,dry,TB_0477,G3,36.495375,40.141125
60541,1,5,dry,TB_0428,G2,38.034375,41.20425
60542,1,5,dry,TB_0467,G1,35.7093125,37.9045
60543,1,5,dry,TB_0549,H6,37.8095,40.827875
60544,1,5,dry,TB_0590,H5,38.13725,39.9414375
60545,1,5,dry,B100,H4,38.434125,43.615375
60546,1,5,dry,TB_0407,H3,37.521375,44.920125
60547,1,5,dry,TB_0109,H2,36.207375,42.288
60548,1,5,dry,TB_0605,H1,35.40775,38.2198125
60549,1,5,dry,B100,I6,35.914,40.4150625
60550,1,5,dry,TB_0068,I5,35.877,36.6055
60551,1,5,dry,TB_0127,I4,37.0375625,39.534375
60552,1,5,dry,TB_0281,I3,37.9048125,42.4473125
60553,1,5,dry,TB_0497,I2,37.085625,41.5736875
60554,1,5,dry,TB_0475,I1,37.669625,45.8385625
60555,1,5,dry,TB_0558,J6,38.011125,38.9738125
60556,1,5,dry,TB_0386,J5,36.3814375,37.421125
60557,1,5,dry,TB_0126,J4,38.199,38.2771875
60558,1,5,dry,TB_0347,J3,37.8383125,40.4325625
60559,1,5,dry,B100,J2,37.065,40.9356875
60560,1,5,dry,TB_0269,J1,44.4266875,45.501625
60601,1,6,dry,TB_0411,A7,35.5295625,35.68125
60602,1,6,dry,TB_0297,A8,36.4785,36.9909375
