Subplot_ID,Rep,Awning,Treatment,Genotype,Grid_Location,Jul_16_notes,Jul_11_notes,Jul_12_notes,Jul_11_weather,Jul_21_notes,Jul_21_weather,Jul_21_IR,Jul_21_IR_std,Jul_21_IR_obs,Jul_21_IR_se,,Jul_11_IR,Jul_11_IR_std,Jul_11_IR_obs,Jul_11_IR_se,Jul_16_IR,Jul_16_IR_std,Jul_16_IR_obs,Jul_16_IR_se
60335,1,3,wet,TB_0201,F14,,,,,,,36.1285625,0.494614593,16,0.123653648,,33.54,0.299838401,16,0.0749596,,,,
60336,1,3,wet,TB_0206,F13,,,,,,,47.414125,2.28224027,16,0.570560067,,34.867,0.543992279,16,0.13599807,,,,
60337,1,3,wet,TB_0496,G18,,,,,,,35.737625,0.164884151,16,0.041221038,,33.2275625,0.266941933,16,0.066735483,,,,
60338,1,3,wet,TB_0522,G17,,,,,,,36.8478125,0.464769795,16,0.116192449,,33.89625,0.251423812,16,0.062855953,,,,
60339,1,3,wet,TB_0129,G16,,,,,,,37.50325,0.353508416,16,0.088377104,,34.799625,0.487653685,16,0.121913421,,,,
60340,1,3,wet,TB_0294,G15,,,,,,,37.3525625,0.20861958,16,0.052154895,,35.0853125,0.20568154,16,0.051420385,,,,
60341,1,3,wet,TB_0334,G14,,,,,,,36.037875,0.137474301,16,0.034368575,,34.57225,0.39049618,16,0.097624045,,,,
60342,1,3,wet,TB_0512,G13,,beam,,,,,36.311625,0.399092617,16,0.099773154,,34.2355,0.266585071,16,0.066646268,,,,
60343,1,3,wet,TB_0357,H18,,,,,,,35.9945,0.223402178,16,0.055850545,,34.7988125,0.434621862,16,0.108655465,,,,
60344,1,3,wet,TB_0107,H17,,,,,,,36.2918125,0.22116456,16,0.05529114,,34.2864375,0.281588581,16,0.070397145,,,,
60345,1,3,wet,B100,H16,,sm_probe,,,,,36.266125,0.371165529,16,0.092791382,,34.2081875,0.199051155,16,0.049762789,,,,
60346,1,3,wet,TB_0488,H15,,,,,,,36.283,0.300155071,16,0.075038768,,35.1910625,0.422381734,16,0.105595433,,,,
60347,1,3,wet,TB_0031,H14,,,,,,,35.927375,0.285631668,16,0.071407917,,35.1789375,0.203787624,16,0.050946906,,,,
60348,1,3,wet,TB_0063,H13,,,,,,,36.9648125,0.655729743,16,0.163932436,,34.908625,0.297609112,16,0.074402278,,,,
60349,1,3,wet,B100,I18,,,,,,,36.0829375,0.224161688,16,0.056040422,,33.3828125,0.343897508,16,0.085974377,,,,
60350,1,3,wet,TB_0191,I17,,,,,,,35.99675,0.340138501,16,0.085034625,,33.4660625,0.227819071,16,0.056954768,,,,
60351,1,3,wet,TB_0478,I16,,,,,,,35.646625,0.20610317,16,0.051525792,,33.8336875,0.219391801,16,0.05484795,,,,
60352,1,3,wet,TB_0266,I15,,,,,,,35.527625,0.198424083,16,0.049606021,,33.9939375,0.172872388,16,0.043218097,,,,
60353,1,3,wet,TB_0025,I14,,,,,,,35.7763125,0.208057274,16,0.052014318,,34.124875,0.178368486,16,0.044592121,,,,
60354,1,3,wet,TB_0579,I13,,,,,,,36.4685625,0.215322075,16,0.053830519,,34.5161875,0.225069239,16,0.05626731,,,,
60355,1,3,wet,TB_0414,J18,,,,,,,35.830125,0.184828524,16,0.046207131,,33.722375,0.129765365,16,0.032441341,,,,
60356,1,3,wet,TB_0131,J17,,,,,,,35.5235625,0.244527291,16,0.061131823,,33.322875,0.161818777,16,0.040454694,,,,
60357,1,3,wet,TB_0465,J16,,,,,,,36.5875625,0.337115404,16,0.084278851,,33.5040625,0.283283478,16,0.07082087,,,,
60358,1,3,wet,TB_0146,J15,,,,,,,35.8003125,0.241986148,16,0.060496537,,34.102625,0.599259418,16,0.149814854,,,,
60359,1,3,wet,B100,J14,,,,,,,35.5540625,0.275514904,16,0.068878726,,33.791,0.266927706,16,0.066731926,,,,
60360,1,3,wet,TB_0564,J13,,,,,,,37.481125,1.017700275,16,0.254425069,,34.23275,0.311426075,16,0.077856519,,,,
60401,1,4,wet,TB_0581,A19,,,,,,,36.01475,0.189462925,16,0.047365731,,32.1248125,0.151462743,16,0.037865686,,,,
60402,1,4,wet,B100,A20,,,,,,,35.5245625,0.261693451,16,0.065423363,,32.041875,0.167717968,16,0.041929492,,,,
60403,1,4,wet,TB_0255,A21,,,,,,,35.8845,0.154196844,16,0.038549211,,32.35625,0.20121713,16,0.050304282,,,,
60404,1,4,wet,TB_0044,A22,,,,,,,36.5413125,0.27219398,16,0.068048495,,32.6359375,0.275891879,16,0.06897297,,,,
60405,1,4,wet,TB_0417,A23,,,,,,,39.3154375,1.23422753,16,0.308556883,,33.70975,0.336979624,16,0.084244906,,,,
60406,1,4,wet,TB_0228,A24,,,,,,,49.6248125,1.621375557,16,0.405343889,,35.175125,0.288225808,16,0.072056452,,,,
60407,1,4,wet,TB_0469,B19,,beam,,,,,36.11375,0.250012133,16,0.062503033,,31.72275,0.277991487,16,0.069497872,,,,
60408,1,4,wet,TB_0598,B20,,beam,,,,,34.892375,0.358542025,16,0.089635506,,31.427125,0.371469312,16,0.092867328,,,,
60409,1,4,wet,B100,B21,,beam,,,,,35.2918125,0.197521718,16,0.04938043,,31.7201875,0.209125232,16,0.052281308,,,,
60410,1,4,wet,TB_0462,B22,,beam,,,,,35.1438125,0.142703524,16,0.035675881,,32.082375,0.202874304,16,0.050718576,,,,
